Missão Foco Rápido,2024,0,Treinar atenção sustentada e tempo de resposta.,Cognify Labs,Educativo TDAH
Circuito da Atenção,2024,0,Treinar alternância de foco e autocontrole.,Cognify Labs,Educativo TDAH
Sequência Zen,2024,0,Organizar etapas e reduzir distrações.,Cognify Labs,Educativo TDAH
Impulso Controlado,2024,0,Exercitar controle de impulsividade com feedback visual.,Cognify Labs,Educativo TDAH
Memória de Emoções,2024,0,Identificar emoções e expressões faciais simples.,Cognify Labs,Educativo TEA
Rotina Visual,2024,0,Montar sequências de rotina com apoio visual.,Cognify Labs,Educativo TEA
Histórias Sociais,2024,0,Simular situações sociais com escolhas guiadas.,Cognify Labs,Educativo TEA
Labirinto Calmo,2024,0,Trabalhar planejamento e tolerância à espera.,Cognify Labs,Educativo TEA
Letras em Movimento,2024,0,Reconhecer letras e sílabas com apoio visual.,Cognify Labs,Educativo Dislexia
Caça-Sílabas,2024,0,Reforçar leitura por blocos e combinação silábica.,Cognify Labs,Educativo Dislexia
Som das Palavras,2024,0,Estimular consciência fonêmica e rimas.,Cognify Labs,Educativo Dislexia
Palavra Quebra-Cabeça,2024,0,Formar palavras por partes com desafios progressivos.,Cognify Labs,Educativo Dislexia
